R-Strength,H-Strength,VP,Cities,Dev,Round,Winner
5,9,2,0,1,1,0
14,24,2,0,0,1,1
12,8,2,0,0,1,0
10,6,2,0,0,1,0
5,4,4,0,2,1,0
14,8,2,0,0,1,1
12,8,2,0,0,1,0
10,0,2,0,0,1,0
5,15,4,0,2,1,0
14,8,2,0,0,1,1
12,8,2,0,0,1,0
10,0,2,0,0,1,0
5,12,4,0,2,1,0
14,10,2,0,1,1,1
12,9,2,0,0,1,0
10,1,2,0,0,1,0
5,6,4,0,2,1,0
14,15,2,0,1,1,1
12,12,2,0,0,1,0
10,1,2,0,0,1,0
5,12,4,0,2,1,0
18,3,3,0,1,1,1
12,15,2,0,0,1,0
10,4,2,0,0,1,0
5,12,4,0,2,1,0
18,8,3,0,1,1,1
12,10,2,0,0,1,0
10,8,2,0,0,1,0
5,6,4,0,2,1,0
18,12,3,0,1,1,1
12,12,2,0,0,1,0
10,6,2,0,0,1,0
5,0,5,1,2,1,0
18,30,3,0,1,1,1
12,6,2,0,1,1,0
10,8,2,0,0,1,0
5,1,5,1,2,1,0
18,33,3,0,1,1,1
12,10,4,0,1,1,0
10,8,2,0,0,1,0
5,2,5,1,2,2,0
18,32,3,0,1,2,1
12,15,4,0,1,2,0
10,4,2,0,0,2,0
5,6,5,1,3,2,0
18,10,3,0,1,2,1
12,2,4,0,1,2,0
10,6,2,0,0,2,0
5,15,5,1,3,2,0
18,3,4,1,1,2,1
12,6,4,0,1,2,0
10,6,2,0,0,2,0
5,8,5,1,3,2,0
18,12,4,1,1,2,1
12,6,4,0,1,2,0
10,12,2,0,0,2,0
5,1,5,1,3,2,0
18,4,5,2,1,2,1
14,2,5,0,1,2,0
10,15,2,0,0,2,0
5,4,5,1,3,2,0
18,12,5,2,2,2,1
14,18,5,0,1,2,0
10,15,2,0,0,2,0
5,8,5,1,3,2,0
18,28,5,2,2,2,1
14,27,5,0,1,2,0
10,12,2,0,0,2,0
5,9,5,1,3,2,0
19,9,6,2,2,2,1
14,8,5,0,1,2,0
10,4,2,0,0,2,0
5,1,5,1,3,2,0
19,6,6,2,2,2,1
14,3,5,0,2,2,0
10,8,2,0,0,2,0
5,1,5,1,3,2,0
19,12,6,2,2,2,1
14,12,5,0,2,2,0
10,6,2,0,0,3,0
5,0,5,1,3,3,0
19,8,6,2,2,3,1
14,27,5,0,2,3,0
10,9,2,0,0,3,0
5,1,5,1,3,3,0
19,4,6,2,2,3,1
14,28,6,0,3,3,0
10,1,4,0,0,3,0
5,1,5,1,3,3,0
19,18,6,2,2,3,1
14,3,4,0,4,3,0
10,6,4,0,0,3,0
5,6,5,1,3,3,0
19,10,6,2,2,3,1
14,15,6,0,4,3,0
10,8,2,0,0,3,0
5,3,5,1,3,3,0
19,21,6,2,2,3,1
14,24,6,0,4,3,0
10,15,2,0,0,3,0
5,4,5,1,3,3,0
19,15,6,2,2,3,1
14,8,6,0,4,3,0
10,21,2,0,0,3,0
5,0,5,1,3,3,0
19,15,6,2,2,3,1
14,18,6,0,4,3,0
10,18,2,0,0,3,0
5,0,5,1,3,3,0
19,21,8,2,3,3,1
14,24,4,0,4,3,0
10,8,2,0,0,3,0
5,0,5,1,3,3,0
19,24,9,3,3,3,1
14,21,4,0,4,3,0
10,8,2,0,0,3,0
5,0,5,1,3,3,0
19,36,10,4,3,3,1
11,1,2,0,0,3,0
2,1,2,0,0,1,0
9,6,2,0,1,1,1
10,8,2,0,0,1,0
11,6,2,0,0,1,0
2,1,2,0,0,1,0
9,18,2,0,1,1,1
10,10,2,0,0,1,0
11,9,2,0,0,1,0
2,1,2,0,0,1,0
9,8,2,0,1,1,1
10,8,2,0,0,1,0
11,2,2,0,0,1,0
2,1,2,0,0,1,0
9,12,2,0,1,1,1
10,10,2,0,0,1,0
11,6,2,0,0,1,0
2,0,2,0,0,1,0
9,15,2,0,1,1,1
10,16,2,0,0,1,0
11,4,3,1,0,1,0
2,0,2,0,0,1,0
9,6,3,1,1,1,1
16,1,3,0,0,1,0
11,4,3,1,0,1,0
2,1,2,0,0,1,0
9,4,3,1,1,1,1
16,8,3,0,0,1,0
11,6,3,1,0,1,0
2,1,2,0,0,1,0
9,4,3,1,1,1,1
16,12,3,0,0,1,0
11,8,3,1,0,1,0
2,2,2,0,0,1,0
9,8,3,1,1,1,1
16,9,4,0,1,1,0
